ArrivalDate,GrossDemand,NetDemand,NetDemandForecast
2017-01-01,102,63,60
2017-01-02,124,76,71
2017-01-03,94,58,65
2017-01-04,61,37,36
2017-01-05,65,31,34
2017-01-06,69,35,40
2017-01-07,45,36,32
2017-01-08,81,36,41
2017-01-09,44,34,33
2017-01-10,64,51,53
2017-01-11,37,30,31
2017-01-12,96,54,63
2017-01-13,70,40,40
2017-01-14,169,38,39
2017-01-15,48,30,32
2017-01-16,61,40,38
2017-01-17,31,26,27
2017-01-18,190,107,101
2017-01-19,71,43,45
2017-01-20,60,37,35
2017-01-21,69,34,30
2017-01-22,65,49,53
2017-01-23,140,42,37
2017-01-24,52,34,37
2017-01-25,149,53,48
2017-01-26,60,32,32
2017-01-27,71,50,46
2017-01-28,50,35,35
2017-01-29,36,25,24
2017-01-30,52,34,34
2017-01-31,40,33,33
2017-02-01,118,27,28
2017-02-02,100,66,58
2017-02-03,77,47,50
2017-02-04,73,53,47
2017-02-05,75,60,56
2017-02-06,43,29,29
2017-02-07,47,36,33
2017-02-08,31,28,23
2017-02-09,102,59,66
2017-02-10,99,61,63
2017-02-11,65,41,41
2017-02-12,162,72,70
2017-02-13,108,75,72
2017-02-14,94,53,59
2017-02-15,115,93,99
2017-02-16,77,41,45
2017-02-17,113,52,57
2017-02-18,46,34,34
2017-02-19,89,72,64
2017-02-20,116,63,69
2017-02-21,56,41,41
2017-02-22,97,83,82
2017-02-23,101,50,45
2017-02-24,95,63,62
2017-02-25,207,113,64
2017-02-26,139,98,101
2017-02-27,98,72,76
2017-02-28,42,33,31
2017-03-01,68,53,52
2017-03-02,230,75,79
2017-03-03,110,76,70
2017-03-04,59,38,36
2017-03-05,100,75,73
2017-03-06,124,97,105
2017-03-07,80,54,61
2017-03-08,69,48,52
2017-03-09,103,53,54
2017-03-10,134,97,93
2017-03-11,98,55,53
2017-03-12,75,48,49
2017-03-13,158,85,87
2017-03-14,102,69,59
2017-03-15,173,70,66
2017-03-16,137,84,83
2017-03-17,122,78,64
2017-03-18,72,53,46
2017-03-19,92,75,61
2017-03-20,124,96,89
2017-03-21,125,43,39
2017-03-22,73,48,50
2017-03-23,118,64,66
2017-03-24,145,109,110
2017-03-25,90,49,44
2017-03-26,98,73,62
2017-03-27,108,89,92
2017-03-28,45,34,26
2017-03-29,95,79,74
2017-03-30,119,73,70
2017-03-31,147,76,70
2017-04-01,97,59,55
2017-04-02,67,54,52
2017-04-03,167,102,104
2017-04-04,97,38,33
2017-04-05,161,82,83
2017-04-06,190,67,57
2017-04-07,98,60,53
2017-04-08,111,56,63
2017-04-09,175,84,73
2017-04-10,124,81,84
2017-04-11,82,59,61
2017-04-12,88,53,44
2017-04-13,146,71,72
2017-04-14,141,76,75
2017-04-15,182,71,65
2017-04-16,107,52,40
2017-04-17,109,71,73
2017-04-18,83,47,45
2017-04-19,107,78,79
2017-04-20,116,65,63
2017-04-21,191,76,77
2017-04-22,127,34,31
2017-04-23,116,65,62
2017-04-24,111,81,74
2017-04-25,63,41,38
2017-04-26,246,55,52
2017-04-27,149,69,67
2017-04-28,206,121,120
2017-04-29,180,72,77
2017-04-30,74,50,58
2017-05-01,156,81,84
2017-05-02,121,91,99
2017-05-03,138,48,62
2017-05-04,182,66,69
2017-05-05,193,99,96
2017-05-06,187,84,87
2017-05-07,90,52,55
2017-05-08,138,67,78
2017-05-09,140,90,86
2017-05-10,126,69,70
2017-05-11,159,95,90
2017-05-12,109,62,55
2017-05-13,122,64,62
2017-05-14,116,95,95
2017-05-15,257,67,66
2017-05-16,91,50,58
2017-05-17,111,79,76
2017-05-18,130,80,79
2017-05-19,291,77,78
2017-05-20,205,87,83
2017-05-21,104,68,76
2017-05-22,147,85,86
2017-05-23,102,69,68
2017-05-24,213,112,105
2017-05-25,164,90,84
2017-05-26,144,79,72
2017-05-27,93,57,46
2017-05-28,128,69,69
2017-05-29,95,72,75
2017-05-30,185,60,59
2017-05-31,111,67,71
2017-06-01,151,72,72
2017-06-02,170,90,94
2017-06-03,126,74,71
2017-06-04,98,60,60
2017-06-05,132,92,103
2017-06-06,100,65,74
2017-06-07,109,57,57
2017-06-08,270,81,86
2017-06-09,167,90,77
2017-06-10,69,44,45
2017-06-11,147,86,83
2017-06-12,134,78,70
2017-06-13,77,53,55
2017-06-14,111,67,67
2017-06-15,125,75,73
2017-06-16,129,67,70
2017-06-17,183,73,74
2017-06-18,93,61,63
2017-06-19,136,79,78
2017-06-20,129,78,73
2017-06-21,124,55,61
2017-06-22,106,69,58
2017-06-23,152,70,75
2017-06-24,93,47,45
2017-06-25,121,105,99
2017-06-26,111,54,50
2017-06-27,172,92,99
2017-06-28,188,91,98
2017-06-29,121,65,75
2017-06-30,120,67,60
2017-07-01,94,62,60
2017-07-02,91,60,51
2017-07-03,107,73,71
2017-07-04,147,115,110
2017-07-05,98,45,47
2017-07-06,155,106,100
2017-07-07,143,74,73
2017-07-08,90,60,61
2017-07-09,142,75,90
2017-07-10,122,76,80
2017-07-11,112,67,74
2017-07-12,126,76,74
2017-07-13,148,107,108
2017-07-14,71,44,50
2017-07-15,191,116,118
2017-07-16,99,70,68
2017-07-17,125,78,80
2017-07-18,97,64,63
2017-07-19,60,47,43
2017-07-20,86,57,56
2017-07-21,93,64,69
2017-07-22,140,98,98
